Set ID,Section,Condition,Times Sold,Total Qty,Total Lots,Min Price (EUR),Avg Price (EUR),Qty Avg Price (EUR),Max Price (EUR),ScrapeTimestampUTC
8154-1,Current Items for Sale,New,,15,7.0,99.41,148.36,140.17,184.98,2025-10-11T15:12:50.079032
8154-1,Current Items for Sale,Used,,9,9.0,44.99,84.32,84.32,139.0,2025-10-11T15:12:50.079032
8295-1,Last 6 Months Sales,New,2.0,2,,170.94,176.97,176.97,183.0,2025-10-11T15:14:22.913210
8295-1,Last 6 Months Sales,Used,2.0,2,,49.6,62.28,62.28,74.95,2025-10-11T15:14:22.913210
8295-1,Current Items for Sale,New,,16,11.0,172.85,206.22,206.57,249.72,2025-10-11T15:14:22.913210
8295-1,Current Items for Sale,Used,,30,29.0,58.0,86.6,86.43,175.73,2025-10-11T15:14:22.913210
8297-1,Last 6 Months Sales,New,1.0,1,,225.0,225.0,225.0,225.0,2025-10-11T15:16:06.457856
8297-1,Last 6 Months Sales,Used,7.0,7,,41.28,69.33,69.33,95.0,2025-10-11T15:16:06.457856
8297-1,Current Items for Sale,New,,19,14.0,188.0,262.27,248.66,379.42,2025-10-11T15:16:06.457856
8297-1,Current Items for Sale,Used,,67,65.0,52.5,107.52,106.99,279.0,2025-10-11T15:16:06.457856
8635-1,Last 6 Months Sales,New,2.0,2,,250.0,272.5,272.5,295.0,2025-10-11T15:18:12.187051
8635-1,Last 6 Months Sales,Used,17.0,17,,56.11,109.17,109.17,171.59,2025-10-11T15:18:12.187051
8635-1,Current Items for Sale,New,,0,0.0,,,,,2025-10-11T15:18:12.187051
8635-1,Current Items for Sale,Used,,1,1.0,175.0,175.0,175.0,175.0,2025-10-11T15:18:12.187051
10184-1,Last 6 Months Sales,New,2.0,2,,220.39,285.19,285.19,349.99,2025-10-11T15:20:11.422071
10184-1,Last 6 Months Sales,Used,3.0,3,,70.06,148.33,148.33,203.86,2025-10-11T15:20:11.422071
10184-1,Current Items for Sale,New,,33,32.0,140.41,390.85,388.7,864.36,2025-10-11T15:20:11.422071
10184-1,Current Items for Sale,Used,,26,25.0,60.51,230.13,229.52,379.0,2025-10-11T15:20:11.422071
10185-1,Last 6 Months Sales,New,12.0,12,,519.0,1083.41,1083.41,1799.0,2025-10-11T15:22:05.773250
10185-1,Last 6 Months Sales,Used,35.0,36,,135.51,648.99,646.15,1100.35,2025-10-11T15:22:05.773250
10185-1,Current Items for Sale,New,,47,45.0,1299.68,2167.83,2148.15,15041.43,2025-10-11T15:22:05.773250
10185-1,Current Items for Sale,Used,,35,31.0,616.59,959.67,1002.0,1350.0,2025-10-11T15:22:05.773250
10186-1,Last 6 Months Sales,New,7.0,7,,275.31,377.18,377.18,469.89,2025-10-11T15:23:18.603884
10186-1,Last 6 Months Sales,Used,10.0,10,,132.46,181.96,181.96,249.99,2025-10-11T15:23:18.603884
10186-1,Current Items for Sale,New,,12,11.0,299.99,434.79,443.58,540.28,2025-10-11T15:23:18.603884
10186-1,Current Items for Sale,Used,,6,6.0,223.91,250.52,250.52,267.84,2025-10-11T15:23:18.603884
10187-1,Last 6 Months Sales,New,1.0,1,,448.83,448.83,448.83,448.83,2025-10-11T15:24:36.502685
10187-1,Last 6 Months Sales,Used,0.0,0,,,,,,2025-10-11T15:24:36.502685
10187-1,Current Items for Sale,New,,27,25.0,328.48,741.88,725.32,1255.51,2025-10-11T15:24:36.502685
10187-1,Current Items for Sale,Used,,25,25.0,172.89,415.28,415.28,630.0,2025-10-11T15:24:36.502685
10188-1,Last 6 Months Sales,New,33.0,34,,343.31,702.31,698.0,1106.83,2025-10-11T15:26:34.580328
10188-1,Last 6 Months Sales,Used,28.0,28,,217.81,451.39,451.39,794.77,2025-10-11T15:26:34.580328
10188-1,Current Items for Sale,New,,74,62.0,475.44,836.34,829.09,1339.9,2025-10-11T15:26:34.580328
10188-1,Current Items for Sale,Used,,33,33.0,198.24,473.11,473.11,778.0,2025-10-11T15:26:34.580328
10189-1,Last 6 Months Sales,New,2.0,2,,342.17,508.78,508.78,675.39,2025-10-11T15:28:10.684394
10189-1,Last 6 Months Sales,Used,2.0,2,,190.0,192.68,192.68,195.37,2025-10-11T15:28:10.684394
10189-1,Current Items for Sale,New,,34,31.0,677.73,1217.89,1232.18,3284.91,2025-10-11T15:28:10.684394
10189-1,Current Items for Sale,Used,,32,31.0,151.28,520.42,531.97,1999.0,2025-10-11T15:28:10.684394
6753-1,Last 6 Months Sales,New,2.0,2,,172.47,174.24,174.24,176.0,2025-10-11T15:29:32.570898
6753-1,Last 6 Months Sales,Used,6.0,6,,47.62,76.12,76.12,90.0,2025-10-11T15:29:32.570898
6753-1,Current Items for Sale,New,,13,12.0,154.44,191.27,190.4,290.0,2025-10-11T15:29:32.570898
6753-1,Current Items for Sale,Used,,16,16.0,65.0,89.25,89.25,139.95,2025-10-11T15:29:32.570898
8039-1,Last 6 Months Sales,New,6.0,6,,175.52,425.19,425.19,618.89,2025-10-11T15:30:44.506859
8039-1,Last 6 Months Sales,Used,47.0,47,,1.0,194.73,194.73,280.12,2025-10-11T15:30:44.506859
8039-1,Current Items for Sale,New,,29,25.0,545.63,721.97,759.69,1274.78,2025-10-11T15:30:44.506859
8039-1,Current Items for Sale,Used,,56,56.0,146.25,288.57,288.57,1080.56,2025-10-11T15:30:44.506859
8063-1,Last 6 Months Sales,New,1.0,1,,143.2,143.2,143.2,143.2,2025-10-11T15:32:06.695664
8063-1,Last 6 Months Sales,Used,2.0,2,,113.88,156.94,156.94,200.0,2025-10-11T15:32:06.695664
8063-1,Current Items for Sale,New,,17,9.0,151.24,214.75,205.63,430.0,2025-10-11T15:32:06.695664
8063-1,Current Items for Sale,Used,,10,10.0,73.48,118.36,118.36,184.98,2025-10-11T15:32:06.695664
8258-1,Last 6 Months Sales,New,3.0,4,,418.0,440.18,434.64,472.54,2025-10-11T15:33:21.739895
8258-1,Last 6 Months Sales,Used,6.0,6,,99.0,178.29,178.29,249.0,2025-10-11T15:33:21.739895
8258-1,Current Items for Sale,New,,19,16.0,299.1,419.59,425.64,531.25,2025-10-11T15:33:21.739895
8258-1,Current Items for Sale,Used,,42,41.0,150.0,239.25,238.55,457.0,2025-10-11T15:33:21.739895
8265-1,Last 6 Months Sales,New,2.0,4,,206.09,207.04,207.52,208.0,2025-10-11T15:34:42.289286
8265-1,Last 6 Months Sales,Used,2.0,2,,50.0,62.06,62.06,74.12,2025-10-11T15:34:42.289286
